Jugador;Posicion;Edad;Altura;Pie;Fichado;Equipo_Anterior;Valor_Mercado;Equipo
Leonardo Jara;Lateral derecho;27;1.85;derecho;24/07/2021;CA Boca Juniors;475000;Velez Sarsfield
Joaquín García;Lateral derecho;34;1.82;derecho;;;;Velez Sarsfield
Santiago Cáseres;Pivote;22;1.79;derecho;19/02/2022;Villarreal CF;4500000;Velez Sarsfield
Máximo Perrone;Pivote;24;1.77;izquierdo;01/01/2022;CA Vélez Sarsfield Inferiores;2000000;Velez Sarsfield
Agustín Mulet;Pivote;22;1.79;derecho;01/07/2020;CA Vélez Sarsfield Inferiores;800000;Velez Sarsfield
Mateo Seoane;Pivote;23;1.78;derecho;01/07/2022;CA Vélez Sarsfield Inferiores;25000;Velez Sarsfield
José Florentín;Mediocentro;31;1.84;izquierdo;15/01/2022;Club Guaraní;1500000;Velez Sarsfield
Franco Díaz;Mediocentro;26;1.81;derecho;12/01/2022;Club Atlético Temperley;300000;Velez Sarsfield
Nicolás Garayalde;Mediocentro;29;1.84;derecho;01/07/2021;CA Vélez Sarsfield Inferiores;300000;Velez Sarsfield
Christian Ordóñez;Mediocentro;28;1.77;derecho;01/01/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Joel Soñora;Mediocentro ofensivo;39;1.73;derecho;01/02/2022;CA Banfield;825000;Velez Sarsfield
Elías Cabrera;Mediocentro ofensivo;23;1.72;derecho;01/01/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Lucas Janson;Extremo izquierdo;19;1.71;derecho;25/07/2019;Club Atlético Tigre;5000000;Velez Sarsfield
Jonathan Menéndez;Extremo izquierdo;19;1.64;derecho;12/07/2022;Real Salt Lake City;2000000;Velez Sarsfield
Agustín Bouzat;Extremo izquierdo;17;1.7;izquierdo;01/01/2018;CA Boca Juniors;1300000;Velez Sarsfield
Lenny Lobato;Extremo izquierdo;22;1.74;izquierdo;01/01/2023;CA Vélez Sarsfield Inferiores;25000;Velez Sarsfield
Luca Orellano;Extremo derecho;22;1.78;izquierdo;01/07/2019;CA Vélez Sarsfield Inferiores;8000000;Velez Sarsfield
Julián Fernández;Extremo derecho;33;1.83;izquierdo;01/07/2022;CA Vélez Sarsfield Inferiores;450000;Velez Sarsfield
Federico Versaci;Extremo derecho;23;1.7;izquierdo;;;50000;Velez Sarsfield
Gianluca Prestianni;Extremo derecho;22;1.66;derecho;01/01/2023;CA Vélez Sarsfield Inferiores;;Velez Sarsfield
Walter Bou;Delantero centro;29;1.74;derecho;25/06/2022;CSD Defensa y Justicia;4000000;Velez Sarsfield
Sebastián Sosa Sánchez;Delantero centro;29;1.87;derecho;20/01/2022;CA Boston River;1300000;Velez Sarsfield
Lucas Pratto;Delantero centro;21;1.86;derecho;27/08/2021;Libre;450000;Velez Sarsfield
Santiago Castro;Delantero centro;22;1.79;derecho;01/01/2022;CA Vélez Sarsfield Inferiores;100000;Velez Sarsfield
Abiel Osorio;Delantero centro;24;1.82;derecho;01/01/2022;CA Vélez Sarsfield Inferiores;25000;Velez Sarsfield
